AB,H,BA
299,79,0.264
329,86,0.261
0,0,0.0
139,32,0.23
87,23,0.264
52,9,0.173
331,95,0.287
163,42,0.258
303,86,0.284
183,38,0.208
244,54,0.221
33,5,0.152
85,13,0.153
258,55,0.213
191,46,0.241
196,46,0.235
22,7,0.318
389,113,0.29
53,9,0.17
71,11,0.155
35,6,0.171
0,0,0.0
367,83,0.226
8,4,0.5
20,5,0.25
368,97,0.264
331,85,0.257
45,6,0.133
126,30,0.238
157,33,0.21
69,20,0.29
16,2,0.125
304,80,0.263
354,107,0.302
223,45,0.202
364,104,0.286
406,100,0.246
55,8,0.145
223,57,0.256
214,64,0.299
94,22,0.234
100,27,0.27
256,50,0.195
341,73,0.214
353,86,0.244
49,12,0.245
198,43,0.217
42,8,0.19
29,7,0.241
354,97,0.274
0,0,0.0
51,11,0.216
264,71,0.269
120,18,0.15
3,0,0.0
182,41,0.225
68,15,0.221
334,70,0.21
62,10,0.161
86,16,0.186
272,75,0.276
51,13,0.255
357,93,0.261
215,60,0.279
0,0,0.0
105,21,0.2
37,10,0.27
242,51,0.211
67,8,0.119
334,83,0.249
146,35,0.24
188,50,0.266
61,16,0.262
14,1,0.071
285,59,0.207
10,1,0.1
165,32,0.194
208,41,0.197
110,20,0.182
396,99,0.25
225,54,0.24
175,28,0.16
62,13,0.21
2,0,0.0
11,2,0.182
49,11,0.224
239,55,0.23
360,103,0.286
42,9,0.214
335,107,0.319
0,0,0.0
35,6,0.171
143,23,0.161
124,22,0.177
36,10,0.278
343,88,0.257
236,57,0.242
0,0,0.0
17,2,0.118
73,19,0.26
121,29,0.24
181,42,0.232
181,47,0.26
166,28,0.169
338,95,0.281
80,14,0.175
271,66,0.244
381,108,0.283
200,53,0.265
0,0,0.0
197,45,0.228
222,54,0.243
67,15,0.224
0,0,0.0
73,12,0.164
0,0,0.0
0,0,0.0
351,92,0.262
53,14,0.264
167,41,0.246
59,11,0.186
139,32,0.23
7,3,0.429
114,23,0.202
291,70,0.241
293,80,0.273
299,73,0.244
290,76,0.262
69,13,0.188
341,79,0.232
0,0,0.0
32,4,0.125
198,41,0.207
329,86,0.261
0,0,0.0
196,50,0.255
347,73,0.21
143,35,0.245
32,8,0.25
1,1,1.0
140,36,0.257
9,1,0.111
12,2,0.167
98,28,0.286
305,81,0.266
90,22,0.244
74,20,0.27
365,101,0.277
157,43,0.274
256,60,0.234
104,27,0.26
36,9,0.25
359,94,0.262
219,46,0.21
0,0,0.0
299,81,0.271
8,0,0.0
115,28,0.243
195,51,0.262
320,101,0.316
125,31,0.248
79,16,0.203
106,15,0.142
297,85,0.286
0,0,0.0
1,0,0.0
190,38,0.2
82,15,0.183
282,78,0.277
0,0,0.0
322,87,0.27
117,32,0.274
265,78,0.294
254,80,0.315
132,33,0.25
53,4,0.075
274,65,0.237
21,8,0.381
23,5,0.217
20,5,0.25
6,0,0.0
167,40,0.24
110,26,0.236
57,14,0.246
130,29,0.223
290,79,0.272
156,37,0.237
201,50,0.249
0,0,0.0
112,32,0.286
11,1,0.091
47,10,0.213
93,28,0.301
209,61,0.292
0,0,0.0
109,28,0.257
200,41,0.205
253,68,0.269
366,91,0.249
374,101,0.27
284,67,0.236
66,13,0.197
387,127,0.328
73,22,0.301
3,3,1.0
273,79,0.289
62,18,0.29
1,0,0.0
103,14,0.136
217,39,0.18
373,97,0.26
69,13,0.188
342,91,0.266
242,67,0.277
28,5,0.179
169,44,0.26
101,24,0.238
29,8,0.276
0,0,0.0
0,0,0.0
0,0,0.0
332,81,0.244
0,0,0.0
378,107,0.283
209,55,0.263
82,20,0.244
73,14,0.192
93,18,0.194
0,0,0.0
91,16,0.176
305,74,0.243
258,66,0.256
0,0,0.0
0,0,0.0
241,72,0.299
211,63,0.299
307,66,0.215
65,18,0.277
238,53,0.223
372,101,0.272
101,24,0.238
335,86,0.257
212,56,0.264
24,4,0.167
233,47,0.202
0,0,0.0
42,8,0.19
54,9,0.167
2,0,0.0
5,0,0.0
29,4,0.138
130,33,0.254
148,34,0.23
341,84,0.246
241,70,0.29
316,82,0.259
368,90,0.245
391,129,0.33
336,71,0.211
79,22,0.278
13,3,0.231
10,0,0.0
104,23,0.221
141,33,0.234
82,18,0.22
371,95,0.256
47,7,0.149
31,5,0.161
16,2,0.125
14,3,0.214
139,26,0.187
332,70,0.211
121,32,0.264
14,3,0.214
234,56,0.239
202,56,0.277
9,2,0.222
73,20,0.274
292,67,0.229
306,73,0.239
223,47,0.211
31,5,0.161
15,3,0.2
272,78,0.287
367,105,0.286
140,25,0.179
350,95,0.271
363,136,0.375
178,44,0.247
51,12,0.235
170,37,0.218
174,43,0.247
214,51,0.238
364,83,0.228
163,43,0.264
19,5,0.263
6,0,0.0
102,11,0.108
100,20,0.2
2,0,0.0
133,29,0.218
78,18,0.231
5,2,0.4
238,57,0.239
134,30,0.224
10,3,0.3
5,1,0.2
316,76,0.241
254,81,0.319
215,54,0.251
11,2,0.182
350,101,0.289
140,40,0.286
247,72,0.291
207,47,0.227
367,102,0.278
418,130,0.311
149,32,0.215
211,56,0.265
54,13,0.241
183,38,0.208
354,93,0.263
320,89,0.278
105,14,0.133
381,96,0.252
261,68,0.261
53,10,0.189
73,15,0.205
182,36,0.198
54,11,0.204
243,61,0.251
33,6,0.182
271,59,0.218
198,47,0.237
45,9,0.2
287,56,0.195
162,37,0.228
19,5,0.263
177,44,0.249
195,40,0.205
134,32,0.239
263,56,0.213
34,12,
